customer_id,full_name,document_cpf,signup_date
CUST-10247,Carlos Ribeiro,226.168.823-74,27/08/2024
CUST-10248,Maria Pereira,185.644.102-17,14/01/2025
CUST-10249,Lucas Pereira,640.167.748-11,27/05/2023
CUST-10250,Thiago Oliveira,949.927.811-72,28/05/2023
CUST-10251,Marcos Pereira,984.625.395-87,11/09/2025
CUST-10252,Carlos Costa,575.155.434-64,24/09/2023
CUST-10253,Mariana Santos,872.834.547-25,02/11/2024
CUST-10254,Carlos Rodrigues,744.274.890-43,31/12/2024
CUST-10255,Rafael Gomes,622.512.634-16,05/01/2025
CUST-10256,Lucas Costa,678.762.398-48,03/12/2023
CUST-10257,Ana Costa,920.596.268-17,05/02/2025
CUST-10258,Carlos Lima,376.449.913-48,28/08/2024
CUST-10259,Fernanda Santos,577.287.929-19,16/03/2024
CUST-10260,Beatriz Souza,400.262.987-51,24/01/2024
CUST-10261,Thiago Costa,886.516.814-10,05/01/2024
CUST-10262,Marcos Gomes,913.526.669-58,12/08/2023
CUST-10263,Lucas Gomes,487.415.311-57,16/12/2025
CUST-10264,Thiago Rodrigues,446.115.582-86,21/02/2025
CUST-10265,João Silva,846.909.517-21,22/05/2025
CUST-10266,Ana Gomes,519.766.769-16,19/04/2024
CUST-10267,Rafael Lima,348.171.493-76,07/07/2025
CUST-10268,João Oliveira,481.147.277-88,12/06/2024
CUST-10269,Marcos Ribeiro,860.966.751-92,24/06/2025
CUST-10270,Marcos Alves,846.123.921-98,06/03/2025
CUST-10271,Beatriz Lima,899.885.127-76,03/04/2025
CUST-10272,Julia Costa,676.868.491-26,17/07/2024
CUST-10273,Beatriz Lima,985.640.333-56,05/12/2023
CUST-10274,João Gomes,983.326.357-49,19/11/2025
CUST-10275,Camila Pereira,666.759.387-21,31/08/2024
CUST-10276,Beatriz Souza,172.914.700-77,05/12/2024
CUST-10277,Beatriz Gomes,599.187.365-21,17/05/2024
CUST-10278,Lucas Silva,857.405.400-20,08/10/2023
CUST-10279,Fernanda Pereira,897.420.703-23,11/05/2025
CUST-10280,Camila Santos,116.657.410-60,20/07/2025
CUST-10281,Thiago Rodrigues,263.829.415-58,22/12/2025
CUST-10282,Mariana Pereira,569.142.414-88,14/09/2025
CUST-10283,Ana Alves,805.631.460-52,03/10/2024
CUST-10284,Mariana Oliveira,353.876.968-89,20/12/2025
CUST-10285,Thiago Souza,280.691.483-24,30/05/2023
CUST-10286,Carlos Ferreira,128.566.829-95,15/02/2024
CUST-10287,Lucas Rodrigues,479.958.723-23,13/10/2024
CUST-10288,Julia Oliveira,458.233.475-19,10/08/2024
CUST-10289,Rafael Ribeiro,965.301.643-32,01/06/2023
CUST-10290,Ana Costa,805.285.408-56,10/11/2024
CUST-10291,Maria Santos,994.610.826-46,30/07/2025
CUST-10292,Camila Pereira,487.703.345-74,20/06/2023
CUST-10293,Thiago Souza,976.165.842-65,01/03/2024
CUST-10294,Marcos Pereira,945.272.283-84,23/01/2024
CUST-10295,João Silva,190.430.889-70,21/06/2024
CUST-10296,Camila Alves,141.505.950-54,26/03/2025
CUST-10297,Marcos Pereira,197.800.246-37,08/04/2023
CUST-10298,Rafael Alves,870.816.927-94,22/12/2025
CUST-10299,João Rodrigues,779.769.899-35,02/04/2024
CUST-10300,Pedro Souza,411.272.142-52,26/12/2024
CUST-10301,Camila Gomes,578.480.877-39,01/02/2024
CUST-10302,Maria Costa,491.886.854-80,25/01/2025
CUST-10303,Carlos Silva,209.710.250-90,29/06/2025
CUST-10304,Mariana Pereira,604.309.194-86,16/12/2024
CUST-10305,Marcos Souza,874.193.985-67,21/09/2023
CUST-10306,Marcos Ferreira,732.373.293-99,08/01/2025
CUST-10307,Ana Oliveira,268.364.417-41,11/08/2024
CUST-10308,Mariana Ribeiro,564.272.257-65,08/02/2025
CUST-10309,Ana Santos,254.429.994-40,05/09/2025
CUST-10310,Fernanda Costa,449.941.293-21,22/02/2024
CUST-10311,Carlos Pereira,405.406.904-67,16/08/2024
CUST-10312,Marcos Rodrigues,170.464.855-61,24/05/2025
CUST-10313,Carlos Alves,951.339.733-91,25/08/2024
CUST-10314,Mariana Ribeiro,727.625.791-30,17/12/2023
CUST-10315,Carlos Gomes,601.707.204-96,12/12/2023
CUST-10316,Rafael Alves,382.212.663-10,27/06/2024
CUST-10317,Marcos Souza,780.498.125-93,18/09/2024
CUST-10318,Marcos Ferreira,790.851.420-46,02/01/2025
CUST-10319,Pedro Lima,134.946.498-24,17/09/2024
CUST-10320,Ana Ribeiro,956.813.642-87,09/12/2025
CUST-10321,Mariana Costa,407.277.400-42,25/03/2024
CUST-10322,Ana Gomes,499.810.622-28,15/02/2025
CUST-10323,Maria Oliveira,880.227.171-98,10/09/2023
CUST-10324,Julia Santos,392.837.383-30,30/09/2025
CUST-10325,Marcos Pereira,579.638.714-60,13/01/2024
CUST-10326,Lucas Ferreira,364.272.114-42,21/05/2023
CUST-10327,Ana Ribeiro,373.730.782-51,01/08/2024
CUST-10328,Ana Oliveira,200.949.348-54,03/01/2025
CUST-10329,Pedro Lima,537.560.355-99,01/09/2023
CUST-10330,Mariana Ferreira,338.410.872-30,15/02/2025
CUST-10331,Ana Ferreira,724.167.287-62,17/07/2024
CUST-10332,Fernanda Oliveira,594.160.695-44,11/08/2024
CUST-10333,Camila Silva,814.263.512-84,13/05/2024
CUST-10334,Mariana Ribeiro,431.609.902-73,19/07/2023
CUST-10335,Lucas Santos,619.327.314-77,25/06/2023
CUST-10336,Fernanda Lima,766.381.679-40,05/07/2024
CUST-10337,Pedro Pereira,246.521.855-42,19/03/2025
CUST-10338,Marcos Alves,845.868.902-53,25/05/2024
CUST-10339,Maria Silva,586.196.867-61,10/04/2023
CUST-10340,Beatriz Gomes,190.392.259-91,17/06/2025
CUST-10341,Ana Ferreira,856.995.211-54,04/01/2025
CUST-10342,Pedro Oliveira,154.492.249-62,29/12/2023
CUST-10343,Maria Rodrigues,109.392.822-60,17/05/2025
CUST-10344,Rafael Alves,341.351.160-96,08/04/2025
CUST-10345,Pedro Oliveira,859.996.753-66,06/02/2025
CUST-10346,Beatriz Ribeiro,689.274.518-32,17/06/2024
CUST-10347,Rafael Santos,308.524.591-11,07/06/2025
CUST-10348,Marcos Oliveira,330.439.901-62,07/04/2023
CUST-10349,Rafael Alves,361.824.961-23,26/11/2025
CUST-10350,Maria Costa,509.780.321-10,19/09/2023
CUST-10351,João Costa,130.259.971-51,20/02/2024
CUST-10352,Mariana Costa,139.275.509-81,04/10/2025
CUST-10353,Lucas Lima,484.200.296-95,05/09/2023
CUST-10354,Fernanda Alves,339.962.423-70,16/06/2023
CUST-10355,Julia Oliveira,497.217.441-44,24/08/2023
CUST-10356,Carlos Alves,493.124.228-90,26/12/2023
CUST-10357,Camila Santos,670.264.588-98,10/11/2025
CUST-10358,Marcos Gomes,543.301.410-94,08/07/2025
CUST-10359,Carlos Ferreira,117.559.133-26,18/02/2024
CUST-10360,Ana Gomes,244.369.379-23,21/06/2024
CUST-10361,Ana Ribeiro,429.566.849-18,26/02/2024
CUST-10362,Rafael Santos,772.529.853-87,10/06/2024
CUST-10363,Thiago Gomes,297.238.410-36,21/09/2025
CUST-10364,Mariana Souza,722.502.248-97,22/07/2024
CUST-10365,Mariana Lima,283.908.951-50,22/02/2024
CUST-10366,Camila Costa,375.925.205-93,09/01/2025
CUST-10367,Fernanda Rodrigues,941.900.675-89,28/11/2025
CUST-10368,Rafael Pereira,539.486.781-88,26/12/2024
CUST-10369,Beatriz Souza,407.787.337-62,04/07/2025
CUST-10370,Pedro Oliveira,775.813.347-25,07/04/2024
CUST-10371,Julia Costa,742.958.940-58,26/04/2024
CUST-10372,Thiago Lima,346.292.654-57,02/07/2024
CUST-10373,Carlos Pereira,352.125.669-46,24/05/2025
CUST-10374,Thiago Oliveira,208.413.579-51,26/05/2024
CUST-10375,Lucas Rodrigues,720.633.962-74,06/11/2024
CUST-10376,Pedro Gomes,991.217.759-89,01/09/2024
CUST-10377,Mariana Pereira,587.547.244-70,03/03/2025
CUST-10378,Rafael Lima,506.968.667-49,22/10/2024
CUST-10379,Camila Alves,764.350.470-97,27/01/2025
CUST-10380,João Costa,146.347.220-27,06/12/2024
CUST-10381,Ana Ferreira,486.749.375-18,02/10/2024
CUST-10382,Camila Ribeiro,833.352.771-60,29/10/2024
CUST-10383,Beatriz Pereira,864.628.790-11,06/06/2024
CUST-10384,João Pereira,993.595.215-92,27/06/2024
CUST-10385,Camila Rodrigues,370.737.237-47,11/02/2024
CUST-10386,Lucas Souza,118.990.809-64,06/12/2023
CUST-10387,Thiago Ribeiro,652.271.324-17,16/06/2023
CUST-10388,Carlos Ferreira,288.770.515-17,24/06/2024
CUST-10389,Thiago Lima,487.169.581-99,19/10/2025
CUST-10390,Mariana Pereira,310.164.731-89,25/09/2025
CUST-10391,Fernanda Costa,749.852.829-64,04/01/2025
CUST-10392,Pedro Gomes,767.741.166-29,05/01/2024
CUST-10393,Thiago Gomes,857.580.727-76,23/10/2025
CUST-10394,Julia Ribeiro,212.178.525-44,16/06/2025
CUST-10395,Thiago Silva,137.353.940-41,11/08/2025
CUST-10396,Fernanda Souza,737.570.878-82,22/09/2024
CUST-10397,Beatriz Costa,763.293.445-82,27/07/2025
CUST-10398,Rafael Lima,757.815.337-97,23/11/2025
CUST-10399,Rafael Ferreira,275.164.871-29,29/08/2023
CUST-10400,Ana Rodrigues,287.468.255-65,01/03/2024
CUST-10401,Mariana Santos,987.513.586-16,14/09/2024
CUST-10402,João Lima,956.615.583-17,30/11/2023
CUST-10403,Marcos Alves,685.608.702-47,07/11/2025
CUST-10404,João Alves,808.340.401-52,26/08/2024
CUST-10405,Carlos Pereira,128.568.318-33,25/10/2025
CUST-10406,Fernanda Ribeiro,817.722.512-32,13/10/2023
CUST-10407,Lucas Silva,517.767.371-49,06/01/2025
CUST-10408,Mariana Oliveira,193.685.858-66,02/08/2023
CUST-10409,Lucas Lima,123.356.199-79,10/08/2023
CUST-10410,Julia Alves,502.711.672-92,06/06/2023
CUST-10411,Pedro Lima,654.111.314-51,05/02/2025
CUST-10412,Mariana Costa,196.454.844-78,21/04/2025
CUST-10413,Lucas Santos,581.335.313-57,13/09/2025
CUST-10414,Marcos Rodrigues,171.382.709-72,11/04/2023
CUST-10415,Marcos Pereira,794.520.583-71,04/03/2025
CUST-10416,Camila Oliveira,298.298.151-28,16/07/2025
CUST-10417,Carlos Souza,323.436.619-72,17/02/2024
CUST-10418,Julia Costa,279.119.845-89,28/09/2023
CUST-10419,João Alves,312.896.186-12,08/06/2024
CUST-10420,Lucas Ferreira,321.795.220-47,21/09/2024
CUST-10421,João Pereira,856.288.254-61,23/06/2025
CUST-10422,Fernanda Santos,629.396.402-65,31/05/2024
CUST-10423,Carlos Rodrigues,260.922.924-40,08/12/2025
CUST-10424,Camila Souza,482.975.684-88,27/08/2023
CUST-10425,Mariana Silva,102.686.502-24,03/04/2025
CUST-10426,Lucas Souza,297.693.689-48,08/11/2024
CUST-10427,Marcos Costa,385.474.228-45,18/09/2025
CUST-10428,Carlos Alves,776.787.687-28,03/01/2024
CUST-10429,Lucas Costa,850.499.402-52,18/05/2024
CUST-10430,Thiago Pereira,675.604.824-19,07/03/2025
CUST-10431,João Ribeiro,275.880.145-20,24/06/2023
CUST-10432,Beatriz Gomes,581.200.489-39,16/04/2025
CUST-10433,Beatriz Alves,296.888.762-24,27/05/2024
CUST-10434,Fernanda Silva,947.952.817-87,07/09/2024
CUST-10435,Pedro Costa,823.400.790-93,11/04/2025
CUST-10436,Pedro Souza,453.869.609-87,15/06/2023
CUST-10437,João Pereira,922.723.640-54,03/01/2024
CUST-10438,Fernanda Rodrigues,420.973.288-79,08/04/2025
CUST-10439,Rafael Alves,554.136.991-82,14/04/2025
CUST-10440,Beatriz Santos,520.329.770-86,26/01/2024
CUST-10441,Carlos Alves,598.422.714-52,24/05/2024
CUST-10442,Pedro Costa,196.324.683-22,21/07/2025
CUST-10443,João Ribeiro,228.450.391-84,24/08/2025
CUST-10444,Mariana Rodrigues,685.982.863-39,20/04/2025
CUST-10445,Mariana Rodrigues,957.410.960-42,21/07/2024
CUST-10446,João Pereira,862.769.658-53,17/12/2025
CUST-10447,Mariana Rodrigues,234.305.614-53,29/10/2025
CUST-10448,Beatriz Rodrigues,132.915.391-76,08/09/2024
CUST-10449,Carlos Ferreira,977.747.130-92,04/06/2023
CUST-10450,Beatriz Ferreira,691.792.854-51,02/06/2025
CUST-10451,Julia Oliveira,981.108.611-98,25/04/2023
CUST-10452,Fernanda Santos,301.168.173-89,18/07/2023
CUST-10453,Fernanda Oliveira,687.574.802-16,04/09/2025
CUST-10454,Maria Ribeiro,952.698.191-55,07/05/2023
